Aaron Pröbstl m 1902 1943 Karl Pröbstl 1877 Barbara Hochinger 1880
Adalbert Dworsky m 1842 1897 - - 0 - - 0
Adalbert Dworsky m 1869 1947 Adalbert Dworsky 1842 Ludmilla Sierpinsky 1845
Albert Festerer m 1939 1991 - - 0 - - 0
Albert Krakauer m 1822 1897 - - 0 - - 0
Alexander Wallner m 1922 1957 Bertram Hohlbichler 1905 Hermine Wallner 1904
Antonius Pamsel m 1961 2049 Johann Pamsel 1943 Helene Simbacher 1941
Archibald Furtweger m 1967 1993 Heinrich Furtweger 1921 Theresia Furtweger 1952
Arndt Hohlbichler m 1873 1944 Sebastian Hohlbichler 1852 Konstanze Maurer 1855
Barbara Hochinger w 1880 1949 - - 0 - - 0
Bendetto Beldetti m 1973 2031 Enrico Beldetti 1948 Valerie Furtweger 1950
Benjamin Furtweger m 1898 1985 - - 0 - - 0
Berta Kracek w 1874 1949 Adalbert Dworsky 1842 Nicola Kracek 1856
Bertram Hohlbichler m 1905 1976 Arndt Hohlbichler 1873 Ottilie Wagner 1880
Bertram Hohlbichler m 1931 2006 Bertram Hohlbichler 1905 Hermine Wallner 1904
Claudia Ranseier w 1924 2021 Leopold Ranseier 1903 Mechthild Finkenstein 1899
Cynthia Hohlbichler w 1875 1969 Sebastian Hohlbichler 1852 Konstanze Maurer 1855
Daniel Finkenstein m 1891 1965 Herbert Finkenstein 1873 Luise Krakauer 1873
Dorothea Madlinger w 1960 2047 Heribert Madlinger 1931 Mara Jurcic 1934
Elisabeth Laubichler w 1900 1982 - - 0 - - 0
Emanuela Ranseier w 1956 1994 Karl Ranseier 1925 Mechthild Finkenstein 1899
Enrico Beldetti m 1948 2022 - - 0 - - 0
Evelin Distler w 1934 1999 - - 0 - - 0
Feodora Kramer w 1924 1985 - - 0 - - 0
Feodora Pamsel w 1985 2081 Antonius Pamsel 1961 Dorothea Madlinger 1960
Franka Beldetti w 1994 2055 Franz Furtweger 1972 Paula Beldetti 1970
Franz Furtweger m 1972 2056 Sebastian Furtweger 1942 Helene Simbacher 1941
Franziska Krakauer w 1850 1862 Albert Krakauer 1822 Herta Kalman 1827
Franz Krakauer m 1848 1898 Albert Krakauer 1822 Herta Kalman 1827
Franz Pamsel m 1877 1933 Johann Pamsel 1846 Tatjana Fichtler 1854
Fridolin Muhrauer m 1905 1991 Konstantin Muhrauer 1873 Josefine Pamsel 1878
Friederike Kracek w 1896 1972 Johann Pamsel 1875 Berta Kracek 1874
