Sebastian Hohlbichler 1852
Konstanze Maurer 1855
Arndt Hohlbichler 1873
Jonathan Hohlbichler 1874
Cynthia Hohlbichler 1875
Ottilie Wagner 1880
Benjamin Furtweger 1898
Patrizia Hohlbichler 1899
Rosalinde Hohlbichler 1903
Bertram Hohlbichler 1905
Heinrich Furtweger 1921
Hedwig Furtweger 1922
Alexander Wallner 1922
Sibille Hohlbichler 1926
Helene Furtweger 1931
Bertram Hohlbichler 1931
Sebastian Furtweger 1942
Valerie Furtweger 1950
Nikolaus Furtweger 1951
Theresia Furtweger 1952
Philip Hohlbichler 1952
Archibald Furtweger 1967
Paula Beldetti 1970
Franz Furtweger 1972
Bendetto Beldetti 1973
Franka Beldetti 1994
